a_id,collection_date,dob,age_at_collection_yrs,date_of_sn,sn_at_collection,sex,heath_status,surrendered,temperment,tongue,feces,feces_storage,mortem_collection,toxocara_roundworms,cystoisospora_felis_coccidia,sarco_like,toxoplasma,nemex_1,nemex_2,nemex_3,panacur_1,ponazuril_1,ponazuril_2,days_since_last_nemex
A320576,2025-06-09,2024-05-04,1.0972222219999999,2025-06-10,Intact,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,TRUE,TRUE,FALSE,FALSE,2025-05-04,2025-06-05,NA,NA,NA,NA,4
A320907,2025-06-09,2023-05-11,2.0777777780000006,2025-06-09,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-05-11,2025-06-05,2025-11-10,NA,NA,NA,4
A320925,2025-06-09,2024-05-12,1.075,2025-05-27,Fixed,neutered_male,other,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,45817
A320997,2025-06-09,2024-09-13,0.7388888888999999,2025-06-13,Intact,spayed_female,healthy,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-05-13,NA,NA,NA,NA,NA,27
A321008,2025-06-06,2023-11-13,1.563888889,2025-05-21,Fixed,neutered_male,other,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-05-13,NA,NA,NA,NA,NA,24
A321551,2025-06-09,2024-05-24,1.0416666669999997,2025-06-13,Intact,neutered_male,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,TRUE,FALSE,FALSE,FALSE,2025-05-27,NA,NA,NA,NA,NA,13
A321616,2025-09-03,2024-05-29,1.261111111,2025-08-19,Fixed,spayed_female,other,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-05-29,2025-08-05,NA,NA,2025-07-16,NA,29
A321647,2025-06-08,2025-03-05,0.2583333333,2025-06-05,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-05-28,NA,NA,NA,2025-05-28,NA,11
A321648,2025-06-08,2025-03-05,0.2583333333,2025-06-05,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-05-28,NA,NA,NA,2025-05-28,NA,11
A321768,2025-06-07,2024-03-31,1.1861111110000002,2025-06-04,Fixed,neutered_male,other,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-05-31,NA,NA,NA,NA,NA,7
A323391,2025-09-01,2024-07-27,1.094444444,2025-09-02,Intact,female,healthy,FALSE,unsocial,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-07-23,NA,NA,NA,NA,NA,40
A323413,2025-09-03,2025-04-09,0.4,2025-08-07,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-07-25,2025-08-20,NA,NA,2025-07-25,NA,14
A323434,2025-09-02,2024-07-28,1.094444444,2025-08-14,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-07-30,NA,NA,NA,NA,NA,34
A323496,2025-09-02,2023-07-30,2.0888888889999997,NA,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-07-30,NA,NA,NA,NA,NA,34
A323535,2025-09-03,2024-11-21,0.7833333332999999,2025-08-05,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,TRUE,TRUE,FALSE,2025-07-29,2025-08-20,NA,NA,NA,NA,14
A323653,2025-09-02,2022-08-04,3.0777777780000006,NA,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-08-03,NA,NA,NA,NA,NA,30
A323682,2025-09-02,2023-08-05,2.0749999999999997,NA,Fixed,neutered_male,sick,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-08-05,NA,NA,NA,NA,NA,28
A323692,2025-09-02,2023-08-05,2.0749999999999997,2025-08-12,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-08-05,2025-08-20,NA,NA,NA,NA,13
A323815,2025-09-03,2021-02-10,4.563888888999999,NA,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-08-10,NA,NA,NA,NA,NA,24
A323859,2025-09-01,2025-04-11,0.3888888889000001,2025-09-02,Intact,female,other,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-08-11,2025-08-26,NA,NA,2025-08-11,NA,6
A323922,2025-09-03,2025-04-29,0.34444444439999994,2025-09-02,Fixed,female,other,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,TRUE,FALSE,FALSE,2025-08-14,2025-08-28,NA,NA,NA,NA,6
A323923-24,2025-09-01,NA,NA,2025-09-02,Intact,NA,other,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-08-14,2025-08-28,NA,NA,NA,NA,4
A323924,2025-09-01,2025-04-23,0.35555555559999996,2025-09-02,Intact,NA,other,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-08-14,2025-08-28,NA,NA,NA,NA,4
A323932,2025-09-02,2024-08-14,1.05,2025-09-02,Fixed,female,other,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-08-14,2025-08-28,NA,NA,NA,NA,5
A323959,2025-09-02,2025-05-15,0.29722222220000005,2025-09-08,Intact,male,other,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-08-15,NA,NA,NA,NA,NA,18
A323961,2025-09-02,2025-04-02,0.4166666667000001,2025-09-02,Fixed,female,other,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,TRUE,FALSE,FALSE,2025-08-15,NA,NA,NA,NA,NA,18
A323986-89,2025-09-02,2025-04-09,0.39722222220000003,2025-09-03,Intact,male,healthy,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,TRUE,FALSE,FALSE,2025-08-15,NA,NA,NA,NA,NA,18
A324055-057,2025-09-01,2023-08-18,2.036111111,2025-08-27,Fixed,spayed_female,healthy,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-08-18,NA,NA,NA,NA,NA,14
A324098,2025-09-01,2022-04-13,3.383333333,NA,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,45901
A324103,2025-09-01,2024-03-02,1.4972222219999998,2025-09-02,Intact,female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,TRUE,FALSE,FALSE,2025-08-19,NA,NA,NA,NA,NA,13
A324110,2025-09-01,2021-08-20,4.030555555999999,NA,NA,neutered_male,other,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-08-20,NA,NA,NA,NA,NA,12
A324181,2025-09-02,2024-10-25,0.8527777778000001,2025-09-02,Fixed,male,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-08-21,NA,NA,NA,NA,NA,12
A324196,2025-09-01,2014-08-21,11.027777779999997,NA,Fixed,spayed_female,healthy,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-08-21,NA,NA,NA,NA,NA,11
A324220,2025-09-02,2024-08-22,1.027777778,2025-08-26,Fixed,spayed_female,healthy,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-08-22,NA,NA,NA,NA,NA,11
A324265,2025-09-02,2024-08-23,1.025,2025-09-02,Fixed,female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-08-23,NA,NA,NA,NA,NA,10
A324329,2025-09-05,2024-02-26,1.525,2025-08-28,Fixed,spayed_female,healthy,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,2025-08-26,NA,NA,NA,NA,NA,10
A324395,2025-09-05,NA,NA,NA,NA,NA,sick,FALSE,unsocial,TRUE,TRUE,refrigerated,post_mortem,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,45905
A324497,2025-08-29,2022-08-29,3,NA,NA,male,sick,FALSE,unknown,TRUE,FALSE,NA,post_mortem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45898
A324503,2025-09-01,2025-04-29,0.3388888889000001,2025-09-04,Intact,NA,healthy,FALSE,unsocial,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,45901
A324522,2025-09-01,2025-05-30,0.25277777780000005,2025-09-03,Intact,female,healthy,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,TRUE,FALSE,FALSE,FALSE,2025-08-30,2025-09-21,NA,NA,NA,NA,2
