A_ID,Name,Collection_Date,DOB,Age_at_collection_yrs,Date_of_SN,SN_at_collection,Sex,Heath_Status,Surrendered,Temperment,Tongue,Feces,Feces_Storage,Mortem_Collection,Toxocara (roundworms),Cystoisospora felis (Coccidia),Sarco-like,Toxoplasma,Nemex_1,Nemex_2,Nemex_3,Panacur_1,Ponazuril_1,Ponazuril_2,Days since last Nemex
A320362,Havana,9/2/2025,10/29/2023,1.841666667,8/19/2025,Fixed,spayed_female,healthy,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,4/29/2025,8/15/2025,,,,,18
A320406,Dandelion,6/7/2025,4/30/2024,1.102777778,NA,Fixed,spayed_female,other,F,social,F,T,refrigerated,pre_mortem,F,T,F,F,4/30/2025,5/26/2025,,,,,12
A320428,Meryl Streep,6/6/2025,5/1/2024,1.097222222,5/21/2025,Fixed,spayed_female,healthy,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,5/4/2025,,,,,,33
A320576,Hestia,6/9/2025,5/4/2024,1.097222222,6/10/2025,Intact,spayed_female,healthy,F,social,F,T,refrigerated,pre_mortem,T,T,F,F,5/4/2025,6/5/2025,,,,,4
A320907,Vivian,6/9/2025,5/11/2023,2.077777778,6/9/2025,Fixed,spayed_female,healthy,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,5/11/2025,6/5/2025,11/10/2025,,,,4
A320925,Buttered Toast,6/9/2025,5/12/2024,1.075,5/27/2025,Fixed,neutered_male,other,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,NA,,,,,,45817
A320997,Mimi,6/9/2025,9/13/2024,0.7388888889,6/13/2025,Intact,spayed_female,healthy,T,social,F,T,refrigerated,pre_mortem,F,F,F,F,5/13/2025,,,,,,27
A321008,Mel,6/6/2025,11/13/2023,1.563888889,5/21/2025,Fixed,neutered_male,other,T,social,F,T,refrigerated,pre_mortem,F,F,F,F,5/13/2025,,,,,,24
A321551,Iced Tea,6/9/2025,5/24/2024,1.041666667,6/13/2025,Intact,neutered_male,healthy,F,social,F,T,refrigerated,pre_mortem,T,F,F,F,5/27/2025,,,,,,13
A321616,Lucy,9/3/2025,5/29/2024,1.261111111,8/19/2025,Fixed,spayed_female,other,T,social,F,T,refrigerated,pre_mortem,F,F,F,F,5/29/2025,8/5/2025,,,7/16/2025,,29
A321647,Nyx,6/8/2025,3/5/2025,0.2583333333,6/5/2025,Fixed,spayed_female,healthy,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,5/28/2025,,,,5/28/2025,,11
A321648,Persephone,6/8/2025,3/5/2025,0.2583333333,6/5/2025,Fixed,spayed_female,healthy,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,5/28/2025,,,,5/28/2025,,11
A321768,Shadow,6/7/2025,3/31/2024,1.186111111,6/4/2025,Fixed,neutered_male,other,T,social,F,T,refrigerated,pre_mortem,F,F,F,F,5/31/2025,,,,,,7
A323391,Daphne,9/1/2025,7/27/2024,1.094444444,9/2/2025,Intact,female,healthy,F,unsocial,F,T,refrigerated,pre_mortem,F,F,F,F,7/23/2025,,,,,,40
A323413,Halifax,9/3/2025,4/9/2025,0.4,8/7/2025,Fixed,spayed_female,healthy,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,7/25/2025,8/20/2025,,,7/25/2025,,14
A323434,Moon,9/2/2025,7/28/2024,1.094444444,8/14/2025,Fixed,spayed_female,healthy,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,7/30/2025,,,,,,34
A323496,Sea,9/2/2025,7/30/2023,2.088888889,NA,Fixed,spayed_female,healthy,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,7/30/2025,,,,,,34
A323535,Star,9/3/2025,11/21/2024,0.7833333333,8/5/2025,Fixed,spayed_female,healthy,F,social,F,T,refrigerated,pre_mortem,F,T,T,F,7/29/2025,8/20/2025,,,,,14
A323653,Eileen/Astraea,9/2/2025,8/4/2022,3.077777778,NA,Fixed,spayed_female,healthy,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,8/3/2025,,,,,,30
A323682,Ichabod,9/2/2025,8/5/2023,2.075,NA,Fixed,neutered_male,sick,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,8/5/2025,,,,,,28
A323692,Aphrodite,9/2/2025,8/5/2023,2.075,8/12/2025,Fixed,spayed_female,healthy,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,8/5/2025,8/20/2025,,,,,13
A323815,Jules,9/3/2025,2/10/2021,4.563888889,NA,Fixed,spayed_female,healthy,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,8/10/2025,,,,,,24
A323859,Suzette/Ziggy,9/1/2025,4/11/2025,0.3888888889,9/2/2025,Intact,female,other,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,8/11/2025,8/26/2025,,,8/11/2025,,6
A323922,Twinkie,9/3/2025,4/29/2025,0.3444444444,9/2/2025,Fixed,female,other,F,social,F,T,refrigerated,pre_mortem,F,T,F,F,8/14/2025,8/28/2025,,,,,6
A323923-24,Snacks,9/1/2025,NA,NA,9/2/2025,Intact,NA,other,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,8/14/2025,8/28/2025,,,,,4
A323924,Popcorn,9/1/2025,4/23/2025,0.3555555556,9/2/2025,Intact,,other,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,8/14/2025,8/28/2025,,,,,4
A323932,Streamer,9/2/2025,8/14/2024,1.05,9/2/2025,Fixed,female,other,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,8/14/2025,8/28/2025,,,,,5
A323959,Kiwi,9/2/2025,5/15/2025,0.2972222222,9/8/2025,Intact,male,other,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,8/15/2025,,,,,,18
A323961,Millie,9/2/2025,4/2/2025,0.4166666667,9/2/2025,Fixed,female,other,F,social,F,T,refrigerated,pre_mortem,F,T,F,F,8/15/2025,,,,,,18
A323986-89,Charlie,9/2/2025,4/9/2025,0.3972222222,9/3/2025,Intact,male,healthy,T,social,F,T,refrigerated,pre_mortem,F,T,F,F,8/15/2025,,,,,,18
A324055-057,Clamantha,9/1/2025,8/18/2023,2.036111111,8/27/2025,Fixed,spayed_female,healthy,T,social,F,T,refrigerated,pre_mortem,F,F,F,F,8/18/2025,,,,,,14
A324098,Cori,9/1/2025,4/13/2022,3.383333333,NA,Fixed,spayed_female,healthy,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,NA,,,,,,45901
A324103,Garmin/Roz,9/1/2025,3/2/2024,1.497222222,9/2/2025,Intact,female,healthy,F,social,F,T,refrigerated,pre_mortem,F,T,F,F,8/19/2025,,,,,,13
A324110,Tigrito,9/1/2025,8/20/2021,4.030555556,NA,NA,neutered_male,other,T,social,F,T,refrigerated,pre_mortem,F,F,F,F,8/20/2025,,,,,,12
A324181,Avalon,9/2/2025,10/25/2024,0.8527777778,9/2/2025,Fixed,male,healthy,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,8/21/2025,,,,,,12
A324196,Hunter,9/1/2025,8/21/2014,11.02777778,NA,Fixed,spayed_female,healthy,T,social,F,T,refrigerated,pre_mortem,F,F,F,F,8/21/2025,,,,,,11
A324220,Tampa,9/2/2025,8/22/2024,1.027777778,8/26/2025,Fixed,spayed_female,healthy,T,social,F,T,refrigerated,pre_mortem,F,F,F,F,8/22/2025,,,,,,11
A324265,Tara,9/2/2025,8/23/2024,1.025,9/2/2025,Fixed,female,healthy,F,social,F,T,refrigerated,pre_mortem,F,F,F,F,8/23/2025,,,,,,10
A324329,Mocha,9/5/2025,2/26/2024,1.525,8/28/2025,Fixed,spayed_female,healthy,T,social,F,T,refrigerated,pre_mortem,F,F,F,F,8/26/2025,,,,,,10
A324395,na,9/5/2025,NA,NA,NA,NA,NA,sick,F,unsocial,T,T,refrigerated,post_mortem,F,F,F,F,NA,,,,,,45905
A324497,na,8/29/2025,8/29/2022,3,NA,NA,male,sick,F,unknown,T,F,NA,post_mortem,NA,NA,NA,NA,NA,,,,,,45898
A324503,na,9/1/2025,4/29/2025,0.3388888889,9/4/2025,Intact,NA,healthy,F,unsocial,F,T,refrigerated,pre_mortem,F,F,F,F,NA,,,,,,45901
A324522,Josie,9/1/2025,5/30/2025,0.2527777778,9/3/2025,Intact,female,healthy,T,social,F,T,refrigerated,pre_mortem,T,F,F,F,8/30/2025,9/21/2025,,,,,2
