A_ID,Name,Collection_Date,DOB,Age_at_collection_yrs,Date_of_SN,SN_at_collection,Sex,Health_Status,Surrendered,Temperament,Tongue,Feces,Feces_Storage,Mortem_Collection,Toxocara (roundworms),Cystoisospora felis (Coccidia),Sarco-like,Toxoplasma,Parasite,Nemex_1,Nemex_2,Nemex_3,Panacur_1,Ponazuril_1,Ponazuril_2,Days since last Nemex
A320925,Buttered Toast,2025-06-09,2024-05-12,1.075,2025-05-27,Fixed,neutered_male,other,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,45817
A320997,Mimi,2025-06-09,2024-09-13,0.7388888888888889,2025-06-13,Intact,spayed_female,healthy,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-05-13,NA,NA,NA,NA,NA,27
A321008,Mel,2025-06-06,2023-11-13,1.5638888888888889,2025-05-21,Fixed,neutered_male,other,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-05-13,NA,NA,NA,NA,NA,24
A321551,Iced Tea,2025-06-09,2024-05-24,1.0416666666666667,2025-06-13,Intact,neutered_male,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,TRUE,FALSE,FALSE,FALSE,TRUE,2025-05-27,NA,NA,NA,NA,NA,13
A321616,Lucy,2025-09-03,2024-05-29,1.261111111111111,2025-08-19,Fixed,spayed_female,other,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-08-05,NA,NA,NA,2025-07-16,NA,29
A321647,Nyx,2025-06-08,2025-03-05,0.25833333333333336,2025-06-05,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-05-28,NA,NA,NA,2025-05-28,NA,11
A321768,Shadow,2025-06-07,2024-03-31,1.1861111111111111,2025-06-04,Fixed,neutered_male,other,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-05-31,NA,NA,NA,NA,NA,7
A323391,Daphne,2025-09-01,2024-07-27,1.0944444444444446,2025-09-02,Intact,female,healthy,FALSE,unsocial,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-07-23,NA,NA,NA,NA,NA,40
A323413,Halifax,2025-09-03,2025-04-09,0.4,2025-08-07,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-07-25,2025-08-20,NA,NA,2025-07-25,NA,14
A323434,Moon,2025-09-02,2024-07-28,1.0944444444444446,2025-08-14,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-07-30,NA,NA,NA,NA,NA,34
A323496,Sea,2025-09-02,2023-07-30,2.088888888888889,NA,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-07-30,NA,NA,NA,NA,NA,34
A323535,Star,2025-09-03,2024-11-21,0.7833333333333333,2025-08-05,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,TRUE,TRUE,FALSE,TRUE,2025-07-29,2025-08-20,NA,NA,NA,NA,14
A323653,Eileen/Astraea,2025-09-02,2022-08-04,3.077777777777778,NA,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-08-03,NA,NA,NA,NA,NA,30
A323682,Ichabod,2025-09-02,2023-08-05,2.075,NA,Fixed,neutered_male,sick,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-08-05,NA,NA,NA,NA,NA,28
A323692,Aphrodite,2025-09-02,2023-08-05,2.075,2025-08-12,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-08-05,2025-08-20,NA,NA,NA,NA,13
A323815,Jules,2025-09-03,2021-02-10,4.563888888888889,NA,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-08-10,NA,NA,NA,NA,NA,24
A323859,Suzette/Ziggy,2025-09-01,2025-04-11,0.3888888888888889,2025-09-02,Intact,female,other,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-08-11,2025-08-26,NA,NA,2025-08-11,NA,6
A323922,Twinkie,2025-09-03,2025-04-29,0.34444444444444444,2025-09-02,Fixed,female,other,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,TRUE,FALSE,FALSE,TRUE,2025-08-14,2025-08-28,NA,NA,NA,NA,6
A323924,Popcorn,2025-09-01,2025-04-23,0.35555555555555557,2025-09-02,Intact,unknown,other,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-08-14,2025-08-28,NA,NA,NA,NA,4
A323932,Streamer,2025-09-02,2024-08-14,1.05,2025-09-02,Fixed,female,other,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-08-14,2025-08-28,NA,NA,NA,NA,5
A323959,Kiwi,2025-09-02,2025-05-15,0.2972222222222222,2025-09-08,Intact,male,other,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-08-15,NA,NA,NA,NA,NA,18
A323961,Millie,2025-09-02,2025-04-02,0.4166666666666667,2025-09-02,Fixed,female,other,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,TRUE,FALSE,FALSE,TRUE,2025-08-15,NA,NA,NA,NA,NA,18
A323986,Charlie,2025-09-02,2025-04-09,0.3972222222222222,2025-09-03,Intact,male,healthy,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,TRUE,FALSE,FALSE,TRUE,2025-08-15,NA,NA,NA,NA,NA,18
A324055,Clamantha,2025-09-01,2023-08-18,2.036111111111111,2025-08-27,Fixed,spayed_female,healthy,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-08-18,NA,NA,NA,NA,NA,14
A324098,Cori,2025-09-01,2022-04-13,3.3833333333333333,NA,Fixed,spayed_female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,45901
A324103,Garmin/Roz,2025-09-01,2024-03-02,1.4972222222222222,2025-09-02,Intact,female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,TRUE,FALSE,FALSE,TRUE,2025-08-19,NA,NA,NA,NA,NA,13
A324110,Tigrito,2025-09-01,2021-08-20,4.030555555555556,NA,NA,neutered_male,other,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-08-20,NA,NA,NA,NA,NA,12
A324181,Avalon,2025-09-02,2024-10-25,0.8527777777777777,2025-09-02,Fixed,male,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-08-21,NA,NA,NA,NA,NA,12
A324196,Hunter,2025-09-01,2014-08-21,11.027777777777779,NA,Fixed,spayed_female,healthy,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-08-21,NA,NA,NA,NA,NA,11
A324220,Tampa,2025-09-02,2024-08-22,1.0277777777777777,2025-08-26,Fixed,spayed_female,healthy,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-08-22,NA,NA,NA,NA,NA,11
A324265,Tara,2025-09-02,2024-08-23,1.025,2025-09-02,Fixed,female,healthy,FALSE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-08-23,NA,NA,NA,NA,NA,10
A324329,Mocha,2025-09-05,2024-02-26,1.525,2025-08-28,Fixed,spayed_female,healthy,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,2025-08-26,NA,NA,NA,NA,NA,10
A324395,NA,2025-09-05,NA,NA,NA,NA,unknown,sick,FALSE,unsocial,TRUE,TRUE,refrigerated,post_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,45905
A324497,NA,2025-08-29,2022-08-29,3,NA,NA,male,sick,FALSE,unknown,TRUE,FALSE,NA,post_mortem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45898
A324503,NA,2025-09-01,2025-04-29,0.3388888888888889,2025-09-04,Intact,unknown,healthy,FALSE,unsocial,FALSE,TRUE,refrigerated,pre_mortem,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,45901
A324522,Josie,2025-09-01,2025-05-30,0.25277777777777777,2025-09-03,Intact,female,healthy,TRUE,social,FALSE,TRUE,refrigerated,pre_mortem,TRUE,FALSE,FALSE,FALSE,TRUE,2025-08-30,NA,NA,NA,NA,NA,2
A326814,,2026-01-10,2025-07-17,0.48055555555555557,2025-12-01,Fixed,Neutered Male,Healthy,NA,social,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A326931,,2026-01-10,2018-12-04,7.1,2025-11-20,Fixed,Spayed Female,Healthy,NA,social,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A327164,,2026-01-12,2023-10-23,2.2194444444444446,NA,Unknown,Neutered Male,Healthy,NA,social,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A327312,,2026-01-10,2025-08-11,0.41388888888888886,NA,NA,Female,Healthy,NA,unsocial,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A327717,,2026-01-12,2025-10-24,0.21666666666666667,2026-01-08,Fixed,Neutered Male,Healthy,NA,social,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A327726,,2026-01-10,2025-07-03,0.5194444444444445,2026-01-08,Fixed,Spayed Female,Healthy,NA,social,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A327780,,2026-01-13,2024-01-08,2.013888888888889,NA,Unknown,Spayed Female,Healthy,NA,social,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A327793,,2026-01-12,2025-03-07,0.8472222222222222,2026-01-20,Intact,Female,Healthy,NA,social,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A327839,,2026-01-13,2024-07-09,1.511111111111111,2026-01-15,Intact,Female,Other,NA,social,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A327857,,2026-01-13,2025-01-27,0.9611111111111111,2026-01-27,Intact,Male,Healthy,NA,unsocial,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,NA,NA,0,NA,Unknown,,,NA,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
